Symbol,Name,Industry,IndustryCode
CSTL,Castle Biosciences Inc,헬스케어 장비 및 용품,561010
OCGN,Ocugen Inc,제약,562010
REPL,Replimune Group Inc,생명과학 및 메디컬 리서치,562020
HHR,HeadHunter Group PLC ADR,전문 및 상업 서비스,522030
RTLR,Rattler Midstream LP Unit,오일 및 가스 장비 및 서비스,501030
SGMO,Sangamo Therapeutics Inc,생명과학 및 메디컬 리서치,562020
IRWD,Ironwood Pharmaceuticals Inc Class A,생명과학 및 메디컬 리서치,562020
TVTX,Travere Therapeutics Inc,생명과학 및 메디컬 리서치,562020
TLND,Talend SA ADR,소프트웨어 및 IT서비스,572010
CSII,Cardiovascular Systems Inc,헬스케어 장비 및 용품,561010
ASTE,Astec Industries Inc,"건설장비 및 대형차, 기차, 배",521020
KRYS,Krystal Biotech Inc,생명과학 및 메디컬 리서치,562020
AMWD,American Woodmark Corp,주택건설,532030
ENDP,Endo International PLC,제약,562010
NYMT,New York Mortgage Trust Inc,주택 및 상업용 리츠,601020
BGCP,BGC Partners Inc Class A,투자은행 및 서비스,551020
HRTX,Heron Therapeutics Inc,생명과학 및 메디컬 리서치,562020
STTK,Shattuck Labs Inc,생명과학 및 메디컬 리서치,562020
NRIX,Nurix Therapeutics Inc,생명과학 및 메디컬 리서치,562020
FMTX,Forma Therapeutics Holdings Inc,생명과학 및 메디컬 리서치,562020
PRTC,PureTech Health PLC ADR,생명과학 및 메디컬 리서치,562020
PMVP,PMV Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
FARO,FARO Technologies Inc,전자 장비 및 부품,571040
ARQT,Arcutis Biotherapeutics Inc,생명과학 및 메디컬 리서치,562020
KRON,Kronos Bio Inc,생명과학 및 메디컬 리서치,562020
VRTU,Virtusa Corp,소프트웨어 및 IT서비스,572010
FRTA,Forterra Inc,건축 자재,512020
BCAB,Bioatla Inc,생명과학 및 메디컬 리서치,562020
TPIC,TPI Composites Inc,재생에너지,502010
HTLD,Heartland Express Inc,화물 및 물류 서비스,524050
OFLX,Omega Flex Inc,"건설장비 및 대형차, 기차, 배",521020
HYFM,Hydrofarm Holdings Group Inc,"건설장비 및 대형차, 기차, 배",521020
RILY,B. Riley Financial Inc,투자은행 및 서비스,551020
SBTX,Silverback Therapeutics Inc,생명과학 및 메디컬 리서치,562020
HMPT,Home Point Capital Inc,은행,551010
KNSA,Kiniksa Pharmaceuticals Ltd Class A,생명과학 및 메디컬 리서치,562020
VBTX,Veritex Holdings Inc,은행,551010
HLG,Hailiang Education Group Inc ADR,비즈니스교육,631030
CSGS,CSG Systems International Inc,소프트웨어 및 IT서비스,572010
MNTK,Montauk Renewables Inc,전기 유틸리티,591010
TTMI,TTM Technologies Inc,반도체 및 반도체 장비,571010
LMNX,Luminex Corp,헬스케어 장비 및 용품,561010
SSYS,Stratasys Ltd,전자 장비 및 부품,571040
CENX,Century Aluminum Co,메탈&마이닝,512010
GIII,G-III Apparel Group Ltd,섬유 및 의류,532020
ROAD,Construction Partners Inc Class A,건설 및 엔지니어링,522010
ADUS,Addus Homecare Corp,헬스케어 업체 및 서비스,561020
AVO,Mission Produce Inc,식품 및 담배,541020
CMPS,Compass Pathways PLC ADR,생명과학 및 메디컬 리서치,562020
SY,So-Young International Inc ADR,소프트웨어 및 IT서비스,572010
CVGW,Calavo Growers Inc,식품 및 담배,541020
MGNX,MacroGenics Inc,생명과학 및 메디컬 리서치,562020
QURE,Uniqure NV,생명과학 및 메디컬 리서치,562020
CASH,Meta Financial Group Inc,은행,551010
STKL,Sunopta Inc,식품 및 담배,541020
OLMA,Olema Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
ATEC,Alphatec Holdings Inc,헬스케어 장비 및 용품,561010
ESTA,Establishment Labs Holdings Inc,헬스케어 장비 및 용품,561010
JRVR,James River Group Holdings Ltd,보험,553010
EFSC,Enterprise Financial Services Corp,은행,551010
ILPT,Industrial Logistics Properties Trust,주택 및 상업용 리츠,601020
PHAT,Phathom Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
NKTX,Nkarta Inc,생명과학 및 메디컬 리서치,562020
YMAB,Y-mAbs Therapeutics  Inc,생명과학 및 메디컬 리서치,562020
FRG,Franchise Group Inc,"개인, 가정 용품 및 서비스",542010
LASR,nLIGHT Inc,반도체 및 반도체 장비,571010
GNMK,Genmark Diagnostics Inc,헬스케어 장비 및 용품,561010
TCBK,Trico Bancshares,은행,551010
OPRA,Opera Ltd ADR,소프트웨어 및 IT서비스,572010
DMTK,DermTech Inc,헬스케어 장비 및 용품,561010
CYTK,Cytokinetics Inc,생명과학 및 메디컬 리서치,562020
KNTE,Kinnate Biopharma Inc,생명과학 및 메디컬 리서치,562020
CDEV,Centennial Resource Development Inc Class A,오일 및 가스,501020
OCUL,Ocular Therapeutix Inc,제약,562010
MRTN,Marten Transport Ltd,화물 및 물류 서비스,524050
PRAX,Praxis Precision Medicines Inc,생명과학 및 메디컬 리서치,562020
TRS,TriMas Corp,"건설장비 및 대형차, 기차, 배",521020
OCFC,OceanFirst Financial Corp,은행,551010
PNTG,Pennant Group Inc,헬스케어 업체 및 서비스,561020
UPLD,Upland Software Inc,소프트웨어 및 IT서비스,572010
WIRE,Encore Wire Corp,"건설장비 및 대형차, 기차, 배",521020
GEVO,Gevo Inc,재생에너지,502010
MLAB,Mesa Laboratories Inc,"건설장비 및 대형차, 기차, 배",521020
GRCL,Gracell Biotechnologies Inc ADR,생명과학 및 메디컬 리서치,562020
PRCH,Porch Group Inc Class A,소프트웨어 및 IT서비스,572010
PAYA,Paya Holdings Inc Class A,전문 및 상업 서비스,522030
XPEL,Xpel Inc,자동차 및 자동차 부품,531010
EHTH,eHealth Inc,보험,553010
TTCF,Tattooed Chef Inc Class A,기타 금융업,556010
NBLX,Noble Midstream Partners LP Unit,오일 및 가스 장비 및 서비스,501030
JOUT,Johnson Outdoors Inc Class A,레저 상품,532050
KROS,Keros Therapeutics Inc,생명과학 및 메디컬 리서치,562020
ALEC,Alector Inc,생명과학 및 메디컬 리서치,562020
RAVN,Raven Industries Inc,복합 기업,544010
BWMX,Betterware de Mexico SAB de CV,다양한 소매업,534020
SBLK,Star Bulk Carriers Corp,화물 및 물류 서비스,524050
EIGI,Endurance International Group Holdings Inc,소프트웨어 및 IT서비스,572010
ATRA,Atara Biotherapeutics Inc,생명과학 및 메디컬 리서치,562020
ZEAL,Zealand Pharma A/S ADR,생명과학 및 메디컬 리서치,562020
NRC,National Research Corp,전문 및 상업 서비스,522030
CNDT,Conduent Inc,소프트웨어 및 IT서비스,572010
PLUS,ePlus inc,소프트웨어 및 IT서비스,572010
BUSE,First Busey Corp,은행,551010
TRVG,Trivago NV ADR,소프트웨어 및 IT서비스,572010
SUPN,Supernus Pharmaceuticals Inc,제약,562010
RMR,RMR Group Inc Class A,부동산 운영 관리,601010
NVEE,NV5 Global Inc,건설 및 엔지니어링,522010
SLP,Simulations Plus Inc,헬스케어 장비 및 용품,561010
MILE,Metromile Inc,보험,553010
IMVT,Immunovant Inc,생명과학 및 메디컬 리서치,562020
FORTY,Formula Systems 1985 Ltd ADR,소프트웨어 및 IT서비스,572010
BJRI,BJ's Restaurants Inc,호텔 및 엔터테인먼트,533010
DCBO,Docebo Inc,소프트웨어 및 IT서비스,572010
RYTM,Rhythm Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
BNGO,Bionano Genomics Inc,헬스케어 장비 및 용품,561010
OPI,Office Properties Income Trust,주택 및 상업용 리츠,601020
IRCP,IRSA Propiedades Comerciales SA ADR,주택 및 상업용 리츠,601020
PI,Impinj Inc,반도체 및 반도체 장비,571010
ICLK,iClick Interactive Asia Group Ltd ADR,미디어 및 출판,533020
ECOL,US Ecology Inc,전문 및 상업 서비스,522030
HA,Hawaiian Holdings Inc,운송업,524060
SAVA,Cassava Sciences Inc,생명과학 및 메디컬 리서치,562020
AGYS,Agilysys Inc,소프트웨어 및 IT서비스,572010
LNTH,Lantheus Holdings Inc,헬스케어 장비 및 용품,561010
DCOM,Dime Community Bancshares Inc,은행,551010
CHCO,City Holding Co,은행,551010
CMCO,Columbus McKinnon Corp,"건설장비 및 대형차, 기차, 배",521020
NXGN,NextGen Healthcare Inc,소프트웨어 및 IT서비스,572010
MRSN,Mersana Therapeutics Inc,생명과학 및 메디컬 리서치,562020
TBBK,Bancorp Inc,은행,551010
STBA,S&T Bancorp Inc,은행,551010
FREQ,Frequency Therapeutics Inc,생명과학 및 메디컬 리서치,562020
SBSI,Southside Bancshares Inc,은행,551010
CNST,Constellation Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
YI,111 Inc ADR,소프트웨어 및 IT서비스,572010
CDXS,Codexis Inc,생명과학 및 메디컬 리서치,562020
ACLS,Axcelis Technologies Inc,반도체 및 반도체 장비,571010
MATW,Matthews International Corp Class A,미디어 및 출판,533020
TBPH,Theravance Biopharma Inc,제약,562010
QRTEP,Qurate Retail Inc PRF,다양한 소매업,534020
BLNK,Blink Charging Co,전기 유틸리티,591010
SAFT,Safety Insurance Group Inc,보험,553010
SCWX,SecureWorks Corp Class A,소프트웨어 및 IT서비스,572010
MSEX,Middlesex Water Co,수도 유틸리티,591030
QADA,QAD Inc Class A,소프트웨어 및 IT서비스,572010
QNST,Quinstreet Inc,미디어 및 출판,533020
PTGX,Protagonist Therapeutics Inc,생명과학 및 메디컬 리서치,562020
GPRO,GoPro Inc Class A,"컴퓨터, 전화 및 가전제품",571060
SYBT,Stock Yards Bancorp Inc,은행,551010
BATRK,Liberty Media Corp Series C,미디어 및 출판,533020
PFC,Premier Financial Corp (OHIO),은행,551010
FBNC,First Bancorp (North Carolina),은행,551010
ITOS,Iteos Therapeutics Inc,생명과학 및 메디컬 리서치,562020
NMFC,New Mountain Finance Corp,다양한 금융서비스,555010
HEES,H&E Equipment Services Inc,전문 및 상업 서비스,522030
SNEX,Stonex Group Inc,투자은행 및 서비스,551020
SRCE,1st Source Corp,은행,551010
HURN,Huron Consulting Group Inc,전문 및 상업 서비스,522030
PCVX,Vaxcyte Inc,생명과학 및 메디컬 리서치,562020
ICHR,Ichor Holdings Ltd,반도체 및 반도체 장비,571010
AMSF,Amerisafe Inc,보험,553010
RDWR,Radware Ltd,소프트웨어 및 IT서비스,572010
CEVA,CEVA Inc,반도체 및 반도체 장비,571010
ARKO,Arko Corp. Class A,식품 및 약품소매,543010
ECPG,Encore Capital Group Inc,은행,551010
BRKL,Brookline Bancorp Inc,은행,551010
FDMT,4D Molecular Therapeutics Inc,생명과학 및 메디컬 리서치,562020
VOR,Vor Biopharma Inc,생명과학 및 메디컬 리서치,562020
CNXN,PC Connection Inc,"컴퓨터, 전화 및 가전제품",571060
TVTY,Tivity Health Inc,헬스케어 업체 및 서비스,561020
IMKTA,Ingles Markets Inc Class A,식품 및 약품소매,543010
CHEF,Chefs' Warehouse Inc,식품 및 약품소매,543010
ANNX,Annexon Inc,제약,562010
SHYF,Shyft Group Inc,자동차 및 자동차 부품,531010
GLNG,Golar LNG Ltd,오일 및 가스 장비 및 서비스,501030
MDXG,MiMedx Group Inc,헬스케어 장비 및 용품,561010
OAS,Oasis Petroleum Inc,오일 및 가스,501020
ZUMZ,Zumiez Inc,전문품 상점,534030
INVA,Innoviva Inc,제약,562010
EVER,EverQuote Inc Class A,소프트웨어 및 IT서비스,572010
RBBN,Ribbon Communications Inc,커뮤니케이션 및 네트워킹,571020
NESR,National Energy Services Reunited Corp,오일 및 가스 장비 및 서비스,501030
KFRC,Kforce Inc,전문 및 상업 서비스,522030
ORIC,Oric Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
NTGR,NETGEAR Inc,커뮤니케이션 및 네트워킹,571020
BLFS,BioLife Solutions Inc,헬스케어 장비 및 용품,561010
ZGNX,Zogenix Inc,생명과학 및 메디컬 리서치,562020
ATRI,Atrion Corp,헬스케어 장비 및 용품,561010
GABC,German American Bancorp Inc,은행,551010
CHRS,Coherus BioSciences Inc,생명과학 및 메디컬 리서치,562020
SCR,Score Media and Gaming Inc Class A,소프트웨어 및 IT서비스,572010
OMER,Omeros Corp,생명과학 및 메디컬 리서치,562020
DHC,Diversified Healthcare Trust,주택 및 상업용 리츠,601020
BPFH,Boston Private Financial Holdings Inc,은행,551010
DENN,Denny's Corp,호텔 및 엔터테인먼트,533010
MCRI,Monarch Casino & Resort Inc,호텔 및 엔터테인먼트,533010
MTSC,MTS Systems Corp,"건설장비 및 대형차, 기차, 배",521020
ARCT,Arcturus Therapeutics Holdings Inc,생명과학 및 메디컬 리서치,562020
CAMT,Camtek Ltd,반도체 및 반도체 장비,571010
VSTA,Vasta Platform Ltd Class A,비즈니스교육,631030
MBIN,Merchants Bancorp,은행,551010
PLYA,Playa Hotels & Resorts NV,호텔 및 엔터테인먼트,533010
CRTX,Cortexyme Inc,생명과학 및 메디컬 리서치,562020
PLRX,Pliant Therapeutics Inc,제약,562010
TSHA,Taysha Gene Therapies Inc,생명과학 및 메디컬 리서치,562020
GSKY,GreenSky Inc Class A,핀테크,573010
SGH,Smart Global Holdings Inc,반도체 및 반도체 장비,571010
BROG,Brooge Energy Ltd,오일 및 가스 장비 및 서비스,501030
ACRS,Aclaris Therapeutics Inc,생명과학 및 메디컬 리서치,562020
PLCE,Children's Place Inc,전문품 상점,534030
BTAI,BioXcel Therapeutics Inc,생명과학 및 메디컬 리서치,562020
GPRE,Green Plains Inc,재생에너지,502010
WPRT,Westport Fuel Systems Inc,자동차 및 자동차 부품,531010
SNDX,Syndax Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
MGPI,MGP Ingredients Inc,음료,541010
ADVM,Adverum Biotechnologies Inc,생명과학 및 메디컬 리서치,562020
MASS,908 Devices Inc.,"건설장비 및 대형차, 기차, 배",521020
QQQX,Nuveen Nasdaq 100 Dynamic Overwrite Fund,다양한 금융서비스,555010
IESC,IES Holdings Inc,건설 및 엔지니어링,522010
AFIN,American Finance Trust Inc Class A,주택 및 상업용 리츠,601020
MESO,Mesoblast Ltd ADR,생명과학 및 메디컬 리서치,562020
CDMO,Avid Bioservices Inc,제약,562010
VERI,Veritone Inc,소프트웨어 및 IT서비스,572010
SCHN,Schnitzer Steel Industries Inc Class A,메탈&마이닝,512010
FFWM,First Foundation Inc,은행,551010
PASG,Passage Bio Inc,생명과학 및 메디컬 리서치,562020
VNOM,Viper Energy Partners LP Unit,오일 및 가스,501020
INGN,Inogen Inc,헬스케어 장비 및 용품,561010
AKRO,Akero Therapeutics Inc,생명과학 및 메디컬 리서치,562020
CHY,Calamos Convertible & High Income Fund,다양한 금융서비스,555010
VECO,Veeco Instruments Inc,반도체 및 반도체 장비,571010
IDEX,Ideanomics Inc,핀테크,573010
VFF,Village Farms International Inc,식품 및 담배,541020
BOMN,Boston Omaha Corp Class A,미디어 및 출판,533020
FTOC,FTAC Olympus Acquisition Corp Class A,기타 금융업,556010
VITL,Vital Farms Inc,식품 및 약품소매,543010
PSNL,Personalis Inc,생명과학 및 메디컬 리서치,562020
CMBM,Cambium Networks Corp,커뮤니케이션 및 네트워킹,571020
MYRG,MYR Group Inc,건설 및 엔지니어링,522010
KRNY,Kearny Financial Corp,은행,551010
CERS,Cerus Corp,헬스케어 장비 및 용품,561010
IIIV,I3 Verticals Inc Class A,전문 및 상업 서비스,522030
EPIX,ESSA Pharma Inc,생명과학 및 메디컬 리서치,562020
BOOM,DMC Global Inc,메탈&마이닝,512010
ENTA,Enanta Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
CLDX,Celldex Therapeutics Inc,생명과학 및 메디컬 리서치,562020
BOLT,Bolt Biotherapeutics Inc,제약,562010
JBSS,John B Sanfilippo & Son Inc,식품 및 담배,541020
CNOB,ConnectOne Bancorp Inc,은행,551010
HFWA,Heritage Financial Corp,은행,551010
RUBY,Rubius Therapeutics Inc,생명과학 및 메디컬 리서치,562020
GOGO,Gogo Inc,통신 서비스,574010
GRBK,Green Brick Partners Inc,주택건설,532030
OSPN,OneSpan Inc,소프트웨어 및 IT서비스,572010
GGAL,Grupo Financiero Galicia SA ADR,은행,551010
SCHL,Scholastic Corp,미디어 및 출판,533020
MERC,Mercer International Inc,종이 및 임산물,513010
EXTR,Extreme Networks Inc,커뮤니케이션 및 네트워킹,571020
FANH,Fanhua Inc ADR,보험,553010
HMST,HomeStreet Inc,은행,551010
RDUS,Radius Health Inc,생명과학 및 메디컬 리서치,562020
TRIL,Trillium Therapeutics Inc,생명과학 및 메디컬 리서치,562020
FWONA,Liberty Media Corp Series A,미디어 및 출판,533020
RPTX,Repare Therapeutics Inc,생명과학 및 메디컬 리서치,562020
VNDA,Vanda Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
APOG,Apogee Enterprises Inc,주택건설,532030
INBX,Inhibrx Inc,생명과학 및 메디컬 리서치,562020
HPK,Highpeak Energy Inc,오일 및 가스 장비 및 서비스,501030
USCR,US Concrete Inc,건축 자재,512020
CHI,Calamos Convertible Opportunities and Income Fund,다양한 금융서비스,555010
WRLD,World Acceptance Corp,은행,551010
LE,Lands End Inc,전문품 상점,534030
RDNT,RadNet Inc,헬스케어 업체 및 서비스,561020
CRMT,America's CAR-MART Inc,전문품 상점,534030
ADAG,Adagene Inc ADR,생명과학 및 메디컬 리서치,562020
CONX,CONX Corp Class A,기타 금융업,556010
IMOS,ChipMOS Technologies Inc ADR,반도체 및 반도체 장비,571010
PETQ,PetIQ Inc Class A,제약,562010
EPZM,Epizyme Inc,생명과학 및 메디컬 리서치,562020
LIND,Lindblad Expeditions Holdings Inc,호텔 및 엔터테인먼트,533010
VERU,Veru Inc,"개인, 가정 용품 및 서비스",542010
GOGL,Golden Ocean Group Ltd,화물 및 물류 서비스,524050
AACQ,Artius Acquisition Inc Class A,기타 금융업,556010
STRO,Sutro Biopharma Inc,생명과학 및 메디컬 리서치,562020
HIBB,Hibbett Sports Inc,전문품 상점,534030
LXRX,Lexicon Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
GLDD,Great Lakes Dredge & Dock Corp,건설 및 엔지니어링,522010
INSG,Inseego Corp,커뮤니케이션 및 네트워킹,571020
EBSB,Meridian Bancorp Inc (MARYLAND),은행,551010
RNLX,Renalytix AI PLC ADR,소프트웨어 및 IT서비스,572010
VINP,Vinci Partners Investments Ltd Class A,투자은행 및 서비스,551020
SIBN,SI-BONE Inc,헬스케어 장비 및 용품,561010
LMAT,LeMaitre Vascular Inc,헬스케어 장비 및 용품,561010
VIVO,Meridian Bioscience Inc,헬스케어 장비 및 용품,561010
MAXN,Maxeon Solar Technologies Ltd,재생에너지,502010
PFBC,Preferred Bank,은행,551010
TCRR,TCR2 Therapeutics Inc,생명과학 및 메디컬 리서치,562020
AUDC,AudioCodes Ltd,커뮤니케이션 및 네트워킹,571020
BTWN,Bridgetown Holdings Ltd Class A,기타 금융업,556010
KIDS,OrthoPediatrics Corp,헬스케어 장비 및 용품,561010
DVAX,Dynavax Technologies Corp,생명과학 및 메디컬 리서치,562020
TCMD,Tactile Systems Technology Inc,헬스케어 장비 및 용품,561010
OBNK,Origin Bancorp Inc,은행,551010
ANDE,Andersons Inc,식품 및 담배,541020
LORL,Loral Space & Communications Inc,커뮤니케이션 및 네트워킹,571020
GRVY,Gravity Co Ltd ADR,소프트웨어 및 IT서비스,572010
ZIOP,ZIOPHARM Oncology Inc,생명과학 및 메디컬 리서치,562020
GAN,Gan Ltd,소프트웨어 및 IT서비스,572010
ERII,Energy Recovery Inc,"건설장비 및 대형차, 기차, 배",521020
MWK,Mohawk Group Holdings Inc,가정용품,532040
RBCAA,Republic Bancorp Inc Class A,은행,551010
PHVS,Pharvaris BV,생명과학 및 메디컬 리서치,562020
PAHC,Phibro Animal Health Corp Class A,제약,562010
AINV,Apollo Investment Corp,투자은행 및 서비스,551020
GNOG,Golden Nugget Online Gaming Inc Class A,기타 금융업,556010
EOSE,Eos Energy Enterprises Inc Class A,"건설장비 및 대형차, 기차, 배",521020
VREX,Varex Imaging Corp,헬스케어 장비 및 용품,561010
CMLF,CM Life Sciences Inc Class A,기타 금융업,556010
COWN,Cowen Inc Class A,투자은행 및 서비스,551020
MNKD,MannKind Corp,생명과학 및 메디컬 리서치,562020
BDTX,Black Diamond Therapeutics Inc,생명과학 및 메디컬 리서치,562020
CARA,Cara Therapeutics Inc,생명과학 및 메디컬 리서치,562020
PTNR,Partner Communications Company Ltd ADR,통신 서비스,574010
AMEH,Apollo Medical Holdings Inc,헬스케어 업체 및 서비스,561020
WETF,Wisdom Tree Investments Inc,투자은행 및 서비스,551020
LOTZ,Carlotz Inc Class A,전문품 상점,534030
FTOCU,FTAC Olympus Acquisition Corp,기타 금융업,556010
WASH,Washington Trust Bancorp Inc,은행,551010
OFIX,Orthofix Medical Inc,헬스케어 장비 및 용품,561010
MRUS,Merus NV,생명과학 및 메디컬 리서치,562020
TCX,Tucows Inc,소프트웨어 및 IT서비스,572010
AERI,Aerie Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
ALTM,Altus Midstream Co Class A,오일 및 가스 장비 및 서비스,501030
TELL,Tellurian Inc,오일 및 가스,501020
LBAI,Lakeland Bancorp Inc,은행,551010
HOLI,Hollysys Automation Technologies Ltd,"건설장비 및 대형차, 기차, 배",521020
FORR,Forrester Research Inc,미디어 및 출판,533020
XOG,Extraction Oil & Gas Inc,오일 및 가스,501020
KPTI,Karyopharm Therapeutics Inc,생명과학 및 메디컬 리서치,562020
OCSL,Oaktree Specialty Lending Corp,다양한 금융서비스,555010
TMDX,Transmedics Group Inc,헬스케어 장비 및 용품,561010
RNA,Avidity Biosciences Inc,제약,562010
NTUS,Natus Medical Inc,헬스케어 장비 및 용품,561010
GTHX,G1 Therapeutics Inc,생명과학 및 메디컬 리서치,562020
EBON,Ebang International Holdings Inc Class A,"컴퓨터, 전화 및 가전제품",571060
SWBI,Smith & Wesson Brands Inc,레저 상품,532050
TIG,Trean Insurance Group Inc,보험,553010
PRTA,Prothena Corporation PLC,생명과학 및 메디컬 리서치,562020
ALGS,Aligos Therapeutics Inc,생명과학 및 메디컬 리서치,562020
UFCS,United Fire Group Inc,보험,553010
PHAR,Pharming Group NV ADR,제약,562010
TRHC,Tabula Rasa HealthCare Inc,헬스케어 장비 및 용품,561010
AVID,Avid Technology Inc,소프트웨어 및 IT서비스,572010
AOSL,Alpha and Omega Semiconductor Ltd,반도체 및 반도체 장비,571010
HBNC,Horizon Bancorp Inc,은행,551010
BCOV,Brightcove Inc,소프트웨어 및 IT서비스,572010
RUTH,Ruth's Hospitality Group Inc,호텔 및 엔터테인먼트,533010
AMPH,Amphastar Pharmaceuticals Inc,제약,562010
CLCT,Collectors Universe Inc,전문 및 상업 서비스,522030
BMTC,Bryn Mawr Bank Corp,은행,551010
TSC,TriState Capital Holdings Inc,은행,551010
USLM,United States Lime & Minerals Inc,건축 자재,512020
PRDO,Perdoceo Education Corp,교육서비스,631010
AXGN,AxoGen Inc,헬스케어 장비 및 용품,561010
CHUY,Chuy's Holdings Inc,호텔 및 엔터테인먼트,533010
AVXL,Anavex Life Sciences Corp,생명과학 및 메디컬 리서치,562020
HERAU,FTAC Hera Acquisition Corp,기타 금융업,556010
BTWNU,Bridgetown Holdings Ltd,기타 금융업,556010
AACQU,Artius Acquisition Inc Unit,기타 금융업,556010
FOSL,Fossil Group Inc,섬유 및 의류,532020
SP,SP Plus Corp,운송 인프라,524070
UEIC,Universal Electronics Inc,"컴퓨터, 전화 및 가전제품",571060
STFC,State Auto Financial Corp,보험,553010
CMLFU,CM Life Sciences Inc,기타 금융업,556010
UVSP,Univest Financial Corp,은행,551010
ABTX,Allegiance Bancshares Inc,은행,551010
ESPR,Esperion Therapeutics Inc,생명과학 및 메디컬 리서치,562020
LOVE,Lovesac Co,가정용품,532040
ANAB,AnaptysBio Inc,생명과학 및 메디컬 리서치,562020
DYN,Dyne Therapeutics Inc,생명과학 및 메디컬 리서치,562020
SLRC,SLR Investment Corp,다양한 금융서비스,555010
NWLI,National Western Life Group Inc Class A,보험,553010
AFINO,American Finance Trust Inc PRF,주택 및 상업용 리츠,601020
AEGN,Aegion Corp Class A,건설 및 엔지니어링,522010
ANGO,AngioDynamics Inc,헬스케어 장비 및 용품,561010
ADTN,ADTRAN Inc,커뮤니케이션 및 네트워킹,571020
NCBS,Nicolet Bankshares Inc,은행,551010
VUZI,Vuzix Corp,전자 장비 및 부품,571040
SCSC,Scansource Inc,"컴퓨터, 전화 및 가전제품",571060
CMRX,Chimerix Inc,생명과학 및 메디컬 리서치,562020
ADAP,Adaptimmune Therapeutics PLC ADR,생명과학 및 메디컬 리서치,562020
AEPPZ,American Electric Power Company Inc,전기 유틸리티,591010
ATNI,ATN International Inc,통신 서비스,574010
KDMN,Kadmon Holdings Inc,제약,562010
BCOR,Blucora Inc,투자은행 및 서비스,551020
KELYA,Kelly Services Inc Class A,전문 및 상업 서비스,522030
CTBI,Community Trust Bancorp Inc,은행,551010
HONE,HarborOne Bancorp Inc,은행,551010
HGEN,Humanigen Inc,제약,562010
VBIV,VBI Vaccines Inc,생명과학 및 메디컬 리서치,562020
APR,Apria Inc,헬스케어 업체 및 서비스,561020
ECHO,Echo Global Logistics Inc,화물 및 물류 서비스,524050
HMHC,Houghton Mifflin Harcourt Co,전문 및 상업 서비스,522030
COLL,Collegium Pharmaceutical Inc,제약,562010
CRIS,Curis Inc,생명과학 및 메디컬 리서치,562020
XENT,Intersect Ent Inc,헬스케어 장비 및 용품,561010
CLLS,Cellectis SA ADR,생명과학 및 메디컬 리서치,562020
CTRN,Citi Trends Inc,전문품 상점,534030
GSBC,Great Southern Bancorp Inc,은행,551010
PRTS,Carparts.Com Inc,전문품 상점,534030
NFBK,Northfield Bancorp Inc,은행,551010
GDYN,Grid Dynamics Holdings Inc Class A,소프트웨어 및 IT서비스,572010
PAE,PAE Inc Class A,우주항공 및 국방,521010
TCPC,BlackRock TCP Capital Corp,투자은행 및 서비스,551020
EBIX,Ebix Inc,소프트웨어 및 IT서비스,572010
PLL,Piedmont Lithium Ltd ADR,화학,511010
CONXU,CONX Corp,기타 금융업,556010
HLIT,Harmonic Inc,커뮤니케이션 및 네트워킹,571020
MGIC,Magic Software Enterprises Ltd,소프트웨어 및 IT서비스,572010
ETAC,E.Merge Technology Acquisition Corp Class A,기타 금융업,556010
TWCT,TWC Tech Holdings II Corp,기타 금융업,556010
SRDX,Surmodics Inc,헬스케어 장비 및 용품,561010
ATEX,Anterix Inc,통신 서비스,574010
CCD,Calamos Dynamic Convertible and Income Fund,다양한 금융서비스,555010
AEPPL,American Electric Power Company Inc,전기 유틸리티,591010
KOPN,Kopin Corp,반도체 및 반도체 장비,571010
OSW,OneSpaWorld Holdings Ltd,호텔 및 엔터테인먼트,533010
TILE,Interface Inc,가정용품,532040
CBTX,CBTX Inc,은행,551010
AWH,Aspira Women's Health Inc,생명과학 및 메디컬 리서치,562020
PLAB,Photronics Inc,반도체 및 반도체 장비,571010
SPWH,Sportsmans Warehouse Holdings Inc,전문품 상점,534030
OSUR,OraSure Technologies Inc,헬스케어 장비 및 용품,561010
FBMS,First Bancshares Inc (Mississippi),은행,551010
CFB,Crossfirst Bankshares Inc,은행,551010
HSTM,HealthStream Inc,소프트웨어 및 IT서비스,572010
ARLP,Alliance Resource Partners LP Unit,석유,501010
SVFA,SVF Investment Corp Class A,기타 금융업,556010
QTT,Qutoutiao Inc ADR,소프트웨어 및 IT서비스,572010
KDNY,Chinook Therapeutics Inc,생명과학 및 메디컬 리서치,562020
BLBD,Blue Bird Corp,"건설장비 및 대형차, 기차, 배",521020
SVFAU,SVF Investment Corp,기타 금융업,556010
SOHU,Sohu.com Ltd ADR,소프트웨어 및 IT서비스,572010
